id;name;type
C42D7B05-30FD-ADDD-7F42-934501C997EE;vel, mauris. Integer;virtual machine
4D0CFB24-A405-4AC2-6E64-578A0702B36C;Phasellus nulla. Integer;sql Azure
5C9B22AC-F1FC-4EC7-3802-5A1C79DB48D9;Fusce dolor;sql Azure
1D5CD550-62BC-2828-EDA4-C886C3DEBFE9;malesuada fringilla;keyvault
0040589E-CBB8-477C-BC26-697D1ABFAF82;id enim. Curabitur massa.;event hub
E2E01847-E427-0124-021F-E4D1408A8A77;quam. Curabitur vel lectus.;hdinsight
0C411936-90ED-CFB8-A091-BC13A3C5097D;Proin non massa non;keyvault
DC935D4A-EBF5-0D82-7A6D-785974400E61;euismod et, commodo;web app
DCDF991F-43D8-E7EF-C8F3-7DD1691F6815;egestas blandit.;sql Azure
518D007B-3DAE-C588-60F0-0071E3449690;natoque;storage
6C37178A-0F5E-22EC-00CE-B657B9906AA5;Ut semper;web app
6956DA32-B9EC-CF4B-3A2B-C67EECDB7612;Nunc ut erat. Sed;event hub
7E001DC2-A4ED-964D-193E-BFEE2A30E165;Ut;event hub
D9FA0457-389B-FB51-3DB8-ED84E19B9166;nonummy ipsum non arcu.;event hub
9DE07F30-9F02-6994-4FBE-49D20E224C3F;eu tellus eu;virtual machine
307AB948-54AC-92C3-D82E-A65F98D6D9DF;auctor non,;sql Azure
313F3754-A57C-6181-5734-A420101556CE;dui, nec tempus;web app
A69FE075-F8BC-E1FA-7D14-83BC0F3A6750;dui,;virtual machine
9FD7082F-9BB7-DB07-57DF-5048AD6A8657;ante;sql Azure
533BFD3E-E197-DF2F-EB93-E044151AC683;accumsan;keyvault
99392FC6-0C85-4E5D-1779-843455A60047;massa.;virtual machine
B5F05E31-241E-1533-FA62-9D390ADCF167;felis;hdinsight
2BABB111-0AE8-B1DC-3F8C-F7254615E8AF;sed leo. Cras;storage
151AA7CF-BD4E-0085-C9E9-CD5220B1703C;eu, accumsan sed,;storage
1C9A3017-61BB-D558-8E29-E25BBB80B192;tincidunt vehicula risus.;hdinsight
F9E6F7C1-73E7-CD3C-5BDE-9617C7B64225;eget, ipsum. Donec;virtual machine
8BEA99FE-45C8-F4EA-A5C1-1A1D134FB381;congue turpis. In;storage
6F9F7581-CDEC-F692-B469-D37140464609;tellus id nunc;web app
CDCFFC30-DFB1-21FE-3F39-4682A26E3893;lorem,;event hub
F1E5F139-7ED6-8883-EC68-E0FD8B9A7931;consequat nec, mollis vitae,;storage
34480595-2388-04CF-6930-152AC61D4FE2;Quisque fringilla;keyvault
16547873-CAC9-B94F-704F-239B0E0BDA54;at, velit.;web app
413B21EB-4EFA-9A11-BD9A-E9CA7A42FAB9;lacinia vitae, sodales;hdinsight
94E7BDED-829B-8CCF-6FCF-EC2B9A522B82;nostra, per inceptos;event hub
C1A3B611-4B90-A6CC-014A-8F75DBDFA35C;elementum, dui quis;storage
9A619A57-676E-EDF0-AA2A-A3AB1D9564A9;ullamcorper. Duis cursus,;event hub
13AF1E34-06B9-7C7D-6A57-CBD4D15546E7;arcu eu odio tristique;web app
