id;name;type
C062E3B0-437A-1925-75FD-88E5E1CDF5BB;eu tempor erat;keyvault
4A037AE4-7155-69A9-D503-959D72FAA267;vitae aliquam eros;virtual machine
B0E417A9-0285-48E5-AA21-9C1FE53FE65A;Mauris blandit enim;web app
02C213F8-C8BB-7BF8-EC70-56541814F6AE;non;event hub
A85F4A1A-5A81-A999-D2F0-C22939E71363;Aliquam ultrices iaculis;sql Azure
38975B59-850A-B66C-0402-B1280A19DB3E;sociosqu ad;virtual machine
B46FA5A8-FA51-0303-E08C-9AA99115414B;euismod in,;storage
CFE047D6-6460-9C53-52B2-A3CF04E86FB6;sit amet ultricies sem;hdinsight
E74794A2-BCB6-E7FA-239A-DE5043BB09F4;pharetra,;sql Azure
A2CDA05E-1EB1-EA5B-BCBC-4B5F46D87821;elit,;storage
66C01387-8976-FC04-08C3-EC2B71DD8AE5;sem. Pellentesque ut ipsum;storage
9D310ED2-5C07-A48B-A68F-A6AF3C948DA1;est ac;sql Azure
72EE1BE7-8245-1BE8-A5A2-0729A3C7F2FD;ac urna. Ut tincidunt;virtual machine
AC3CBDAF-54D9-F88F-27BC-D0250379D1EA;luctus,;storage
8D79C633-A51C-0D3E-B4D5-92ACD7543706;leo;virtual machine
D86AD8F2-D301-0CC4-E478-FF1DDE22747C;magna. Suspendisse;sql Azure
0E6F840F-A3F9-BD8C-C039-3463369E9D67;Curabitur massa. Vestibulum;web app
962A79ED-2B34-7A9E-AC66-746191118006;nulla. Cras eu tellus;keyvault
387031B2-5E1D-8D2C-3CE1-ECA5B76C1267;arcu vel;sql Azure
A6344D2F-7B0B-BD0A-C631-6CBFE8C67112;Aliquam erat volutpat. Nulla;virtual machine
672C21C7-97B8-8D09-BCFF-87CF8B6E1F0E;luctus vulputate, nisi;storage
D18F9E78-3157-0EF4-93B0-A06D47E9B387;Nulla aliquet. Proin velit.;sql Azure
3AA1DBBF-F4E1-D720-5843-BAFDB71A5677;non, vestibulum;web app
